,Actual,Predicted
393,[0.8  2.4  0.77],[0.7822069 2.4510808 0.8140801]
394,[4.   2.4  1.37],[3.9993098 2.4270222 1.3415419]
395,[1.6  4.   1.37],[1.6025482 4.0005903 1.4248614]
396,[2.4  2.4  2.17],[2.4196525 2.3980582 1.5636762]
397,[4.   3.2  2.17],[4.0979342 3.2543864 2.4180415]
398,[0.8  4.   1.97],[0.7716956 4.019992  1.9386904]
399,[4.   3.2  1.97],[4.0268455 3.2134397 2.2659318]
400,[3.2  3.2  0.57],[3.1788328 3.20737   0.6950632]
401,[1.6  3.2  0.17],[1.6236689  3.126871   0.15001158]
402,[1.6  0.8  1.97],[1.6175499 0.8248571 1.8962018]
403,[0.8  3.2  1.97],[0.8198307 3.2410564 1.9686158]
